slug,name,image_url,description
electric-pressure-washer,Electric Pressure Washer,https://bonhoeffermachines.com/en/public/product_banner/electric-pressure-washer-banner.webp,"Electric Pressure washers are used in various industries, residential complexes, and workshops to remove loose paint, dust, mud, and dirt from surfaces. Bonhoeffer's electric pressure washer is fitted with a performance-proven three-phase motor, heavy-duty grade direct drive brass manifold triplex pump, solid heat treatment stainless steel plunger with ceramic coating, and accessories such as quick plug type nozzle tips, 10"" pneumatic tires, steel braided high-pressure hose, professional trigger gun with stainless steel lance."
electric-motor,Electric Motors,https://bonhoeffermachines.com/en/public/product_banner/44-electric-motors-banner.webp,"Electric motors are devices that convert electrical energy into mechanical energy. Bonhoeffer electric motors are known for their high efficiency, durability, and reliable performance in various industrial applications."
direct-driven-air-compressor,Air Compressor,https://bonhoeffermachines.com/en/public/product_banner/direct-driven-air-compressure-banner.webp,"The air compressor is a device with wide application in almost all types of industries and domestic needs. Powered by a copper electric motor, Bonhoeffer's range of direct drive air compressors come with durable and powerful wheels for easy maneuvering. The tank capacity of 25 liters and 50 liters offers options to choose from as per requirements. The flow ranges between 233 liters per minute."
solar-panel,Solar Panel,https://bonhoeffermachines.com/en/public/product_banner/solar-pannel-banner.webp,"Solar panels collect energy from the sun in the form of sunlight and convert it into electricity that can be used to power homes and businesses. Bonhoeffer's high-efficiency solar panels come in monocrystalline and polycrystalline types with a power range from 150W to 460W."
solar-water-pump,Solar Water Pump,https://bonhoeffermachines.com/public/product_banner/33-Solar-Submersible-Pump.webp,"Professional solar water pump designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
gasoline-sprayer,Gasoline Sprayer,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional gasoline sprayer designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
manual-sprayer,Manual Sprayer,https://bonhoeffermachines.com/en/public/product_banner/manual-sprayers-banner.webp,"Manual sprayers are used for spraying pesticides, fungicides, and herbicides in agriculture. Bonhoeffer's manual sprayers are designed for ease of use, featuring a durable tank, ergonomic handle, and efficient nozzle for precise application. They are ideal for small-scale farming and gardening."
backpack-atomizer,Backpack Atomizer,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional backpack atomizer designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
mistduster,Mistduster,https://bonhoeffermachines.com/en/public/product_banner/mist-duster-banner.webp,"Mist Duster's are suitable for spraying pesticides and fungicides. They are mainly used for spraying pesticides in rice, fruits and vegetable crops. Bonhoeffer's Mist Duster is equipped with a booster pump through which it helps to cover an extensive and wide range. Our Mist dusters are fitted with powerful and durable engines that guarantees top performance and high productivity. Mist dusters are available in different tank sizes"
gasoline-generator,Gasoline Generator,https://bonhoeffermachines.com/en/public/product_banner/gasoline-generator-banner.webp,"Gasoline generators are best source of all your power requirements at places where there is lack of electricity. Bonhoeffer's generators are fitted with professional gasoline engines and 100% copper winding alternators. Frames are built up with Q235-type steel using fully automatic robotic welding technology. Control Panel is Integrated with graphical interface for easy operation. Our generators are capable of handling all the load requirements and ensures complete safety."
gasoline-inverter,Gasoline Inverter,https://bonhoeffermachines.com/en/public/product_banner/gasoline-inverter-banner.webp,"Gasoline Inverter have unique feature of portability, light weight and compact. Bonhoeffer gasoline inverter are ultra-quiet fitted with 4 stroke gasoline engine, high quality Plastic resin parts, work perfectly at variable temperature of -5 °c and 50 °c and full use of petrol when tilt at different angles up to 25° in all directions."
pressure-washer,Pressure Washer,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional pressure washer designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
pressure-washer-home-use,Domestic Pressure Washer,https://bonhoeffermachines.com/en/public/product_banner/pressure-washer-home-use-banner.webp,"Pressure washers are mainly used to clean greasy and dirty surfaces such as home, offices, vehicles, etc. Bonhoeffer offers the best pressure washers in the industry with a powerful copper-wound brushless motor that provides maximum pressure for efficient cleaning. It also comes with auto cut-off feature when the trigger is released for energy saving."
commercial-vacuum,Commercial Vacuum,https://bonhoeffermachines.com/en/public/product_banner/vaCCum-cleaner-banner.webp,"Professional commercial vacuum designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
welding-machine,Welding Machine,https://bonhoeffermachines.com/public/product_banner/40-welding-set.webp,"Professional welding machine designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
centrifugal-pump,Centrifugal Pump,https://bonhoeffermachines.com/en/public/product_banner/centrifugal-pump-banner.webp,"Centrifugal pumps are used across a vast array of Domestic, Agriculture, and Industrial purposes. Supplying water used in residential places to do normal pumping work in various industries these are compact and handy pumps. Bonhoeffer's Centrifugal Pump is an electric pump with a durable and fast cooling feature. The brass impeller mounted in the machine makes it more effective and productive. The device comes with 100% copper winding and works effectively for long time usage."
submersible-pump,Submersible Pump,https://bonhoeffermachines.com/en/public/product_banner/submersible-pumps-banner.webp,"Submersible pumps are used to pump out large amounts of water from underground and in borewell areas with high pressure. Bonhoeffer submersible pumps are fitted with brass inlet and outlet to avoid oxidation. POM Impellers for high efficiency, 100% copper winding motor for resistance to high temperatures, and better working efficiency."
water-pump-2-stroke,2-Stroke Water Pump,https://bonhoeffermachines.com/en/public/product_banner/waterpump-2stroke-banner.webp,"To withstand the challenge of shifting water from place to place in irrigation, Bonhoeffer's 2-stroke engine water pump is perfectly capable to draw water from 6m beneath surface. It has a 1-liter fuel tank capacity and discharges water at 10000m/hour."
engine-2-stroke,2-Stroke Engine,https://bonhoeffermachines.com/en/public/product_banner/2-stroke-engine-banner.webp,"Bonhoeffer's 2-stroke engines are compact, lightweight, and powerful, ideal for handheld equipment and portable machinery. Designed for high performance and reliability, these engines feature easy start, efficient fuel consumption, and robust construction for demanding applications."
tamping-rammer,Tamping Rammer,https://bonhoeffermachines.com/en/public/product_banner/tamping-rammer-banner.webp,"Tamping rammer is a machine used for compacting different types of soil under various construction sites. Bonhoeffer's Tamping Rammer has a powerful engine specially build for working at construction sites. It has a robust housing crankcase aluminium alloy for more extended durability. Fitted with long-lasting bellows with ribbed polyurethane for maximum durability and forged steel alloy plate for greater intensity and better shock absorption."
plate-compactor,Plate Compactor,https://bonhoeffermachines.com/en/public/product_banner/plate-compactor-banner.webp,"A plate compactor is a piece of construction equipment used to smooth and level the earth. It consists of a heavy iron plate mounted to the base of a machine and uses either a vibrating or pounding action to flatten the land. Bonhoeffer Plate compactors are fitted with professional quality 6.5 HP gasoline engine that helps in getting greater centrifugal force, heavy duty iron plate, folding handle, and protective frame make the machine more efficient."
concrete-cutter,Concrete Cutter,https://bonhoeffermachines.com/en/public/product_banner/concrete-cutter-banner.webp,"Concrete saws are power tools used to cut concrete, tiles, asphalt, and other solid materials. Bonhoeffer's concrete cutter is powered by 13 HP Gasoline engine, heavy duty frame and undercarriage to eliminate frame vibration and bending, wheels have ball bearings and waterproof seals for reduced maintenance, screw-type depth control w/lock guarantees accurate cutting."
concrete-vibrator,Concrete Vibrator,https://bonhoeffermachines.com/en/public/product_banner/concrete-vibrator-banner.webp,"Concrete Vibrator machines are used in the process of eradicating air bubbles by forcefully shaking the freshly poured concrete. Bonhoeffer's concrete vibrator comes with 6.5 HP gasoline engine. Vibrating poker diameter ranges from 28 mm to 70 mm and length varies from 4 M to 8 M."
power-trowel,Power Trowel,https://bonhoeffermachines.com/public/product_banner/39-power-trovel.webp,"Professional power trowel designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
earth-auger,Earth Auger,https://bonhoeffermachines.com/en/public/product_banner/earth-auger-banner.webp,"Earth Augers are the best solution to drill the hard ground surface for planting a tree or erecting poles for the fence. Bonhoeffer's earth auger comes with easy to maintain Air filter, low vibration performance due to precise coupling between PTO and bits, third a generation gearbox with a structure of 2 cavities for greater durability. We have the option of a single-operator handle and a multi-operator handle for the ultimate comfort."
garden-tools,Garden Tools,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional garden tools designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
hand-tools,Hand Tools,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional hand tools designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
wood-chipper,Wood Chipper,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional wood chipper designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
chaff-cutter,Chaff Cutter,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional chaff cutter designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
log-splitter,Log Splitter,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional log splitter designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
mini-dumper,Mini Dumper,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional mini dumper designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
trencher,Trencher,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional trencher designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
ac-professional,AC Professional,https://bonhoeffermachines.com/public/product_banner/1-gasoline-water-pump.webp,"Professional ac professional designed for heavy-duty applications. Built with premium materials and advanced engineering for reliable performance in demanding conditions."
vacuum-cleaner,Vacuum Cleaner,https://bonhoeffermachines.com/en/public/product_banner/vaccum-cleaner-banner.webp,"Vacuum cleaners are not only effective at cleaning dust and getting rid of allergens, they are also easy to use and they also save time and energy. Bonhoeffer's Vacuum cleaners are equipped with highly efficient Particulate Air Filter (HEPA) and are powerful enough to pull in wet and dry waste. The best thing about Bonhoeffer's Vacuum cleaner is that it comes with stainless steel tanks of 30 Litres and 50 Litres along with a 1400 W copper winding Motor."
knapsack-sprayer,Knapsack Sprayer,https://bonhoeffermachines.com/en/public/product_banner/knapsack-sprayer-banner.webp,"Knapsack Sprayer enables the farmer to apply chemicals with relative ease. Bonhoeffer's knapsack sprayer comes with 2 stroke and 4 stroke engines coupled with high quality greaseless pump for easy maintenance. It has 25 litres tank capacity for longer work duration and durable spraying accessories."
welding-machines,Welding Machines,https://bonhoeffermachines.com/en/public/product_banner/welding-machine-banner.webp,"Welding machines are among the most essential tools for a welding professional. Welding machines generate heat that melts metal parts so that these parts can be joined. Bonhoeffer's welding machines are the supreme equipment due to digital display and IGBT inverter technology. The double function of MMA/Lift TIG Welding makes this machine portable and durable for users. Another highlight of our welding machines is that they come with an automatic temperature protector that allows the machine to cool down."
concrete-power-trowel,Concrete Power Trowel,https://bonhoeffermachines.com/en/public/product_banner/power-trovel-banner.webp,"A concrete power trowel also known as a power float is a tool used during construction to apply a smooth finish to concrete slabs. Bonhoeffer concrete power trowel comes in 6.5 Hp with a rotor diameter of 91 cm, finish blades of 35*15 cm, and Millstone diameter of 97 cm. Bonhoeffer power trowel is lighter compared to the ride-on model and they are the best when observing the surface."
thermal-fogger,Thermal Fogger,https://bonhoeffermachines.com/en/public/product_banner/thermal-fogger-banner.webp,"Thermal fogging is used to process disinfectant solution within the air for a period in order to disinfect the surfaces of dust particles, it plays a major role in disease prevention and control. Bonhoeffer Thermal Fogger machine is both electric starting and manual starting, SS Body to prevent corrosion and electrical flow, Light in weight and balanced. Also available in butane gas variant."
gasoline-pressure-washer,Gasoline Pressure Washer,https://bonhoeffermachines.com/en/public/product_banner/gasoline-pressure-washer-banner.webp,"Gasoline Pressure washers are used in various industries, residential complexes, and workshops to remove loose paint, dust, mud, and dirt from surfaces. Bonhoeffer's Gasoline pressure washer is fitted with professional quality gasoline engines, a Heavy-duty grade direct drive brass manifold triplex pump, solid heat treatment stainless steel plunger with ceramic coating, and accessories such as quick plug type nozzle tips, 10"" pneumatic tires, steel braided high-pressure hose, professional trigger gun with stainless steel lance"
